0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20
70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90
90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110
160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180
180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160
110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90
90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70
20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0
0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20
70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90
90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110
160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180
180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160
110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90
90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70
20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0
0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20
70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90
90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110
160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180
180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160
110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90
90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70
20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0
0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20
70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90
90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110
160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180
180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160
110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90
90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70,90,160,180,110,90,20,0,70
20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0,20,90,110,180,160,90,70,0
